State,District,Latitude,Longitude,Population in 2001,Population in 2011,Literate,Male_Literate,Female_Literate,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both
Andhra Pradesh,Anantapur,14.312065561843148,77.46015844785771,3640478,4081148,2310960,1338474,972486,206433,9915,14470,559461,581087,22640
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886038,3745875,4174064,2667878,1484794,1183084,225856,16296,24934,611465,632803,36237
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,4901420,5154296,3288577,1716933,1571644,779052,25381,34494,821421,732492,52789
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4465144,4887813,2960441,1634726,1325715,454586,17424,28457,816849,733133,53583
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4187841,4517398,3009718,1598959,1410759,525079,27969,43264,794346,743696,69493
Andhra Pradesh,Kurnool,15.437597151424288,77.90086836581717,3529494,4053463,2127161,1246369,880792,271815,10622,15373,543044,572406,22698
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,3059423,3397448,1904435,1107686,796749,226045,9071,10365,468022,494689,18557
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010676,2537593,2703114,1495381,857824,637557,180824,5264,6316,297418,332230,18598
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198874,2249254,2344474,1238388,707503,530885,168297,5002,7516,278230,265587,16052
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,3803517,3936966,2652389,1379223,1273166,605463,14687,19128,648607,578252,43490
Arunachal Pradesh,Changlang,27.360484793388448,96.37552644628109,125422,148226,73174,44027,29147,13306,1102,499,9314,10621,963
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,57179,78690,38449,21599,16850,755,577,203,3169,4178,538
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,87397,99214,62576,34210,28366,6380,2072,930,9363,12744,1244
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459836,42518,92076,36606,20258,16348,189,605,106,1320,3318,174
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,124991,145726,83062,48380,34682,16426,1203,631,12215,13372,1121
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,50448,54080,31849,18087,13762,4410,703,346,4345,6616,595
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,55726,83030,54057,29470,24587,1063,2002,655,7285,9532,1598
Arunachal Pradesh,Papum Pare,27.27352971698113,93.54468183962264,122003,176573,121048,65794,55254,3898,6454,4243,23203,27411,3186
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,38924,49977,26073,17720,8353,105,895,247,4824,4036,955
Arunachal Pradesh,Tirap,26.944062295081984,95.41470327868862,100326,111975,47974,29313,18661,963,679,216,6118,7182,456
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,33363,35320,18195,10723,7472,136,430,165,2823,3491,502
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,55346,83448,45278,24807,20471,782,569,189,3580,3653,609
